vpip,ratio action
0.38,0.458
0.24,0.669
0.2,0.615
0.27,0.355
0.5,0.684
0.34,0.425
0.24,0.677
0.2,0.631
0.25,0.335
0.48,0.661
0.34,0.427
0.21,0.637
0.21,0.641
0.27,0.336
0.5,0.669
0.33,0.405
0.23,0.633
0.19,0.598
0.25,0.34
0.49,0.654
0.34,0.422
0.23,0.617
0.2,0.623
0.24,0.332
0.5,0.664
0.33,0.415
0.22,0.666
0.21,0.63
0.29,0.355
0.47,0.648
0.35,0.429
0.24,0.658
0.23,0.637
0.26,0.347
0.47,0.649
0.36,0.45
0.23,0.627
0.21,0.61
0.26,0.345
0.51,0.686
0.37,0.44
0.25,0.668
0.21,0.617
0.26,0.342
0.5,0.675
0.34,0.414
0.24,0.666
0.2,0.617
0.29,0.37
0.5,0.667
0.32,0.405
0.24,0.665
0.2,0.599
0.27,0.335
0.49,0.67
0.38,0.444
0.27,0.631
0.22,0.577
0.26,0.335
0.51,0.676
0.36,0.44
0.27,0.657
0.21,0.622
0.25,0.344
0.5,0.679
0.36,0.448
0.23,0.613
0.21,0.612
0.26,0.346
0.52,0.675
0.34,0.426
0.26,0.664
0.2,0.57
0.25,0.348
0.52,0.699
0.34,0.405
0.24,0.664
0.21,0.614
0.27,0.339
0.48,0.656
0.37,0.445
0.26,0.64
0.22,0.605
0.28,0.352
0.51,0.674
0.36,0.439
0.22,0.629
0.21,0.619
0.26,0.356
0.51,0.657
0.34,0.409
0.24,0.614
0.2,0.598
0.24,0.34
0.53,0.679
0.39,0.444
0.26,0.664
0.2,0.613
0.26,0.351
0.49,0.659
0.34,0.413
0.23,0.654
0.21,0.597
0.26,0.337
0.52,0.69
0.35,0.423
0.25,0.636
0.19,0.574
0.27,0.352
0.48,0.662
0.36,0.431
0.21,0.653
0.18,0.634
0.26,0.337
0.47,0.631
0.32,0.404
0.26,0.632
0.2,0.587
0.23,0.331
0.49,0.652
0.33,0.401
0.25,0.65
0.22,0.623
0.25,0.332
0.5,0.667
0.34,0.443
0.26,0.651
0.2,0.593
0.26,0.359
0.52,0.69
0.35,0.416
0.25,0.665
0.18,0.603
0.26,0.335
0.52,0.647
0.36,0.432
0.24,0.649
0.2,0.619
0.27,0.36
0.51,0.667
0.37,0.438
0.25,0.658
0.21,0.618
0.26,0.344
0.49,0.68
0.38,0.447
0.23,0.636
0.21,0.603
0.26,0.327
0.51,0.681
0.35,0.431
0.24,0.631
0.2,0.608
0.26,0.337
0.52,0.668
0.34,0.416
0.23,0.613
0.2,0.592
0.26,0.348
0.49,0.67
0.34,0.417
0.25,0.644
0.22,0.589
0.26,0.342
0.5,0.689
0.35,0.414
0.25,0.631
0.19,0.598
0.22,0.324
0.51,0.649
0.35,0.437
0.23,0.673
0.2,0.634
0.25,0.349
0.49,0.652
0.36,0.439
0.25,0.67
0.2,0.6
0.26,0.337
0.47,0.64
0.35,0.416
0.24,0.651
0.21,0.632
0.25,0.349
0.5,0.672
0.34,0.441
0.25,0.679
0.19,0.639
0.25,0.326
0.5,0.664
0.36,0.445
0.24,0.642
0.19,0.585
0.29,0.358
0.5,0.66
0.34,0.418
0.25,0.651
0.19,0.617
0.25,0.345
0.49,0.65
0.36,0.431
0.22,0.604
0.2,0.604
0.26,0.337
0.5,0.648
0.37,0.44
0.26,0.665
0.2,0.609
0.25,0.343
0.5,0.655
0.37,0.452
0.25,0.664
0.2,0.626
0.24,0.323
0.49,0.672
0.34,0.419
0.24,0.625
0.2,0.6
0.27,0.353
0.51,0.665
0.35,0.431
0.26,0.641
0.2,0.599
0.25,0.317
0.51,0.681
0.38,0.456
0.23,0.651
0.22,0.634
0.25,0.332
0.48,0.653
0.39,0.456
0.24,0.698
0.18,0.599
0.25,0.337
0.51,0.667
0.34,0.421
0.25,0.627
0.21,0.609
0.27,0.357
0.52,0.675
0.4,0.473
0.23,0.659
0.19,0.601
0.25,0.34
0.49,0.649
0.37,0.42
0.25,0.635
0.21,0.602
0.25,0.325
0.51,0.667
0.36,0.428
0.24,0.645
0.19,0.621
0.25,0.338
0.5,0.685
0.31,0.396
0.24,0.624
0.22,0.595
0.26,0.358
0.53,0.7
0.32,0.408
0.26,0.689
0.2,0.601
0.26,0.352
0.5,0.676
0.37,0.446
0.24,0.642
0.2,0.607
0.28,0.357
0.51,0.674
0.35,0.43
0.25,0.641
0.21,0.58
0.27,0.337
0.5,0.676
0.35,0.43
0.23,0.619
0.2,0.582
0.27,0.346
0.51,0.678
0.37,0.422
0.25,0.641
0.19,0.577
0.27,0.353
0.5,0.65
0.36,0.445
0.24,0.64
0.2,0.612
0.25,0.345
0.49,0.655
0.35,0.438
0.25,0.663
0.21,0.634
0.26,0.348
0.49,0.654
0.34,0.414
0.26,0.681
0.21,0.62
0.26,0.342
0.49,0.649
0.33,0.42
0.23,0.654
0.19,0.626
0.23,0.32
0.46,0.641
0.34,0.419
0.25,0.652
0.2,0.588
0.26,0.345
0.5,0.655
0.33,0.411
0.24,0.66
0.21,0.618
0.26,0.348
0.51,0.675
0.36,0.429
0.24,0.657
0.2,0.604
0.26,0.34
0.5,0.676
0.36,0.424
0.24,0.647
0.19,0.605
0.25,0.325
0.51,0.667
0.35,0.426
0.25,0.643
0.19,0.601
0.29,0.368
0.48,0.662
0.35,0.42
0.23,0.641
0.21,0.607
0.25,0.318
0.49,0.671
0.36,0.433
0.24,0.668
0.18,0.616
0.26,0.354
0.46,0.646
0.36,0.439
0.22,0.619
0.19,0.6
0.27,0.337
0.51,0.695
0.35,0.426
0.25,0.661
0.19,0.606
0.26,0.34
0.51,0.675
0.32,0.398
0.25,0.651
0.2,0.617
0.27,0.35
0.5,0.654
0.37,0.437
0.26,0.674
0.19,0.621
0.27,0.345
0.48,0.644
0.34,0.419
0.23,0.632
0.21,0.608
0.26,0.343
0.51,0.667
0.35,0.43
0.25,0.655
0.2,0.584
0.24,0.335
0.48,0.661
0.35,0.43
0.25,0.687
0.21,0.627
0.25,0.338
0.49,0.668
0.34,0.416
0.25,0.625
0.2,0.591
0.25,0.329
0.51,0.682
0.37,0.449
0.26,0.645
0.22,0.603
0.25,0.343
0.49,0.648
0.33,0.417
0.24,0.662
0.19,0.599
0.27,0.363
0.52,0.673
0.36,0.433
0.27,0.679
0.2,0.62
0.24,0.327
0.51,0.684
0.35,0.43
0.25,0.659
0.19,0.631
0.27,0.335
0.5,0.651
0.37,0.446
0.25,0.643
0.22,0.59
0.27,0.354
0.48,0.651
0.34,0.443
0.26,0.617
0.21,0.596
0.27,0.346
0.54,0.685
0.34,0.41
0.24,0.668
0.2,0.646
0.25,0.329
0.5,0.674
0.37,0.447
0.25,0.654
0.2,0.598
0.23,0.344
0.5,0.656
0.37,0.435
0.26,0.668
0.22,0.629
0.26,0.337
0.48,0.649
0.35,0.45
0.24,0.634
0.2,0.591
0.27,0.338
0.51,0.66
0.37,0.443
0.25,0.642
0.21,0.629
0.24,0.342
0.49,0.649
0.35,0.426
0.24,0.649
0.2,0.609
0.26,0.341
0.51,0.684
0.36,0.423
0.25,0.635
0.2,0.597
0.27,0.332
0.5,0.664
0.37,0.442
0.24,0.665
0.19,0.617
0.28,0.352
0.48,0.635
0.34,0.417
0.23,0.65
0.21,0.615
0.25,0.339
0.5,0.676
0.37,0.427
0.26,0.668
0.21,0.561
0.26,0.359
0.5,0.702
0.37,0.438
0.25,0.661
0.18,0.606
0.23,0.327
0.48,0.649
0.34,0.428
0.26,0.669
0.2,0.603
0.25,0.341
0.5,0.678
0.33,0.426
0.24,0.666
0.2,0.599
0.26,0.342
0.5,0.683
0.36,0.422
0.25,0.679
0.19,0.624
0.25,0.343
0.47,0.653
0.36,0.425
0.27,0.665
0.18,0.603
0.26,0.337
0.51,0.666
0.36,0.429
0.26,0.669
0.2,0.603
0.27,0.347
0.48,0.65
0.33,0.406
0.23,0.677
0.2,0.635
0.27,0.351
0.49,0.664
0.36,0.433
0.24,0.652
0.21,0.602
0.24,0.322
0.49,0.683
0.31,0.385
0.26,0.651
0.21,0.614
0.24,0.336
0.48,0.659
0.39,0.446
0.24,0.644
0.21,0.592
0.25,0.328
0.51,0.667
0.36,0.426
0.26,0.625
0.19,0.597
0.28,0.371
0.49,0.674
0.36,0.433
0.24,0.63
0.18,0.592
0.26,0.33
0.47,0.654
0.36,0.428
0.26,0.648
0.21,0.618
0.28,0.341
0.48,0.649
0.34,0.422
0.26,0.671
0.2,0.632
0.24,0.334
0.49,0.683
0.32,0.41
0.23,0.652
0.19,0.611
0.28,0.355
0.48,0.673
0.37,0.432
0.25,0.651
0.2,0.604
0.25,0.337
0.48,0.647
0.31,0.402
0.26,0.665
0.21,0.612
0.25,0.353
0.51,0.667
0.36,0.447
0.25,0.637
0.2,0.61
0.26,0.339
0.51,0.696
0.33,0.426
0.26,0.66
0.2,0.593
0.26,0.359
0.5,0.659
0.32,0.401
0.25,0.64
0.19,0.611
0.25,0.326
0.51,0.659
0.35,0.434
0.26,0.651
0.19,0.588
0.24,0.325
0.5,0.702
0.32,0.394
0.25,0.676
0.2,0.615
0.27,0.355
0.51,0.672
0.38,0.449
0.24,0.641
0.2,0.577
0.27,0.345
0.51,0.662
0.34,0.409
0.25,0.646
0.18,0.591
0.27,0.352
0.51,0.676
0.38,0.45
0.24,0.637
0.21,0.59
0.26,0.349
0.5,0.673
0.38,0.448
0.25,0.616
0.22,0.604
0.27,0.355
0.51,0.687
0.35,0.424
0.27,0.66
0.19,0.614
0.27,0.342
0.52,0.657
0.36,0.435
0.25,0.645
0.2,0.595
0.28,0.357
0.49,0.654
0.38,0.442
0.25,0.646
0.2,0.627
0.26,0.359
0.47,0.666
0.35,0.44
0.24,0.653
0.2,0.634
0.27,0.354
0.49,0.639
0.36,0.438
0.23,0.647
0.21,0.587
0.27,0.362
0.49,0.663
0.35,0.432
0.24,0.659
0.21,0.646
0.25,0.33
0.48,0.654
0.37,0.448
0.25,0.676
0.18,0.583
0.26,0.333
0.47,0.639
0.36,0.423
0.24,0.637
0.23,0.627
0.28,0.36
0.5,0.675
0.34,0.432
0.26,0.656
0.19,0.614
0.24,0.342
0.51,0.679
0.38,0.462
0.26,0.642
0.19,0.609
0.28,0.367
0.47,0.645
0.38,0.451
0.25,0.663
0.2,0.609
0.26,0.349
0.5,0.682
0.33,0.428
0.24,0.655
0.21,0.637
0.29,0.374
0.49,0.657
0.33,0.415
0.23,0.656
0.2,0.607
0.25,0.339
0.5,0.668
0.36,0.438
0.24,0.653
0.19,0.625
0.24,0.329
0.49,0.643
0.37,0.444
0.27,0.654
0.21,0.627
0.25,0.336
0.49,0.655
0.37,0.44
0.25,0.667
0.2,0.619
0.26,0.329
0.51,0.677
0.3,0.407
0.24,0.671
0.21,0.647
0.25,0.34
0.48,0.652
0.37,0.448
0.25,0.661
0.18,0.616
0.26,0.348
0.49,0.671
0.36,0.439
0.23,0.664
0.22,0.649
0.26,0.363
0.51,0.693
0.35,0.422
0.26,0.675
0.19,0.574
0.25,0.337
0.47,0.646
0.36,0.445
0.24,0.641
0.19,0.609
0.26,0.36
0.51,0.684
0.34,0.434
0.22,0.656
0.21,0.638
0.25,0.347
0.49,0.663
0.35,0.425
0.25,0.668
0.19,0.609
0.27,0.356
0.51,0.708
0.32,0.393
0.22,0.627
0.2,0.569
0.28,0.357
0.5,0.664
0.35,0.422
0.25,0.66
0.19,0.582
0.25,0.326
0.51,0.667
0.37,0.432
0.25,0.62
0.22,0.581
0.27,0.356
0.53,0.683
0.33,0.413
0.24,0.668
0.21,0.619
0.25,0.327
0.51,0.666
0.37,0.452
0.24,0.63
0.21,0.601
0.23,0.32
0.49,0.67
0.36,0.428
0.25,0.615
0.2,0.573
0.25,0.331
0.49,0.686
0.34,0.421
0.23,0.648
0.22,0.651
0.26,0.356
0.49,0.663
0.34,0.411
0.25,0.648
0.17,0.578
0.26,0.35
0.5,0.646
0.37,0.445
0.23,0.642
0.2,0.592
0.28,0.377
0.46,0.631
0.36,0.449
0.23,0.649
0.2,0.624
0.25,0.34
0.49,0.667
0.33,0.42
0.25,0.643
0.21,0.61
0.26,0.348
0.51,0.698
0.36,0.42
0.25,0.622
0.21,0.599
0.26,0.354
0.52,0.666
0.36,0.429
0.25,0.686
0.2,0.633
0.24,0.342
0.49,0.67
0.38,0.454
0.25,0.669
0.21,0.614
0.27,0.347
0.5,0.681
0.36,0.451
0.25,0.652
0.21,0.618
0.28,0.358
0.49,0.66
0.36,0.432
0.25,0.66
0.2,0.622
0.26,0.339
0.49,0.66
0.37,0.444
0.24,0.663
0.19,0.618
0.27,0.352
0.52,0.695
0.34,0.42
0.24,0.645
0.2,0.587
0.27,0.349
0.52,0.676
0.34,0.436
0.23,0.627
0.2,0.619
0.26,0.332
0.49,0.661
0.33,0.417
0.23,0.642
0.2,0.598
0.28,0.355
0.51,0.673
0.32,0.403
0.26,0.652
0.21,0.602
0.24,0.337
0.49,0.644
0.34,0.418
0.24,0.67
0.22,0.629
0.26,0.342
0.49,0.667
0.35,0.417
0.26,0.639
0.19,0.597
0.27,0.353
0.51,0.66
0.34,0.41
0.23,0.652
0.2,0.602
0.26,0.341
0.52,0.668
0.36,0.44
0.23,0.667
0.2,0.621
0.25,0.337
0.48,0.661
0.33,0.415
0.24,0.661
0.19,0.634
0.27,0.352
0.47,0.631
0.35,0.423
0.25,0.702
0.21,0.626
0.28,0.351
0.48,0.658
0.36,0.43
0.25,0.687
0.19,0.644
0.24,0.339
0.49,0.655
0.36,0.437
0.25,0.674
0.21,0.634
0.25,0.324
0.47,0.642
0.33,0.418
0.26,0.687
0.21,0.636
0.25,0.328
0.49,0.655
0.36,0.437
0.25,0.658
0.2,0.612
0.26,0.346
0.51,0.668
0.38,0.454
0.25,0.649
0.21,0.597
0.26,0.354
0.5,0.67
0.39,0.452
0.25,0.622
0.2,0.572
0.26,0.352
0.5,0.647
0.34,0.426
0.25,0.662
0.2,0.62
0.24,0.333
0.49,0.656
0.36,0.431
0.24,0.628
0.19,0.579
0.24,0.345
0.49,0.667
0.33,0.415
0.27,0.673
0.19,0.625
0.25,0.333
0.48,0.644
0.38,0.454
0.23,0.635
0.19,0.577
0.25,0.332
0.5,0.677
0.33,0.423
0.24,0.668
0.19,0.614
0.26,0.339
0.51,0.671
0.32,0.393
0.23,0.631
0.17,0.603
0.24,0.334
0.5,0.669
0.35,0.436
0.25,0.669
0.2,0.626
0.25,0.341
0.48,0.662
0.35,0.421
0.24,0.66
0.18,0.604
0.27,0.341
0.48,0.666
0.36,0.439
0.23,0.647
0.21,0.633
0.28,0.349
0.49,0.678
0.33,0.405
0.24,0.666
0.19,0.614
0.25,0.342
0.47,0.656
0.38,0.453
0.23,0.634
0.2,0.607
0.25,0.348
0.51,0.669
0.34,0.412
0.24,0.654
0.2,0.615
0.28,0.374
0.5,0.648
0.35,0.432
0.26,0.645
0.17,0.603
0.28,0.365
0.5,0.667
0.34,0.425
0.26,0.655
0.22,0.612
0.26,0.351
0.49,0.652
0.35,0.431
0.23,0.666
0.19,0.653
0.25,0.331
0.47,0.624
0.37,0.442
0.23,0.675
0.2,0.641
0.27,0.354
0.48,0.65
0.34,0.428
0.29,0.688
0.2,0.608
0.26,0.335
0.49,0.659
0.4,0.455
0.26,0.654
0.18,0.573
0.23,0.342
0.51,0.686
0.34,0.419
0.24,0.614
0.21,0.559
0.26,0.345
0.48,0.655
0.37,0.441
0.26,0.66
0.2,0.585
0.28,0.369
0.5,0.659
0.32,0.404
0.23,0.632
0.22,0.626
0.24,0.336
0.49,0.65
0.36,0.435
0.27,0.683
0.18,0.606
0.28,0.362
0.49,0.633
0.38,0.448
0.25,0.641
0.21,0.624
0.25,0.347
0.48,0.646
0.36,0.441
0.25,0.674
0.21,0.628
0.26,0.352
0.48,0.655
0.35,0.424
0.25,0.648
0.2,0.597
0.25,0.343
0.51,0.655
0.38,0.443
0.23,0.651
0.19,0.622
0.27,0.358
0.51,0.671
0.34,0.411
0.24,0.629
0.2,0.616
0.26,0.344
0.49,0.654
0.37,0.431
0.26,0.651
0.19,0.619
0.26,0.35
0.53,0.679
0.36,0.424
0.25,0.627
0.22,0.602
0.25,0.342
0.5,0.671
0.35,0.417
0.25,0.666
0.2,0.609
0.25,0.331
0.49,0.681
0.36,0.434
0.25,0.681
0.19,0.641
0.26,0.339
0.49,0.658
0.34,0.421
0.24,0.658
0.2,0.629
0.26,0.338
0.47,0.644
0.35,0.424
0.23,0.646
0.2,0.641
0.26,0.358
0.51,0.661
0.37,0.449
0.23,0.65
0.19,0.604
0.25,0.346
0.5,0.667
0.38,0.452
0.24,0.657
0.23,0.61
0.26,0.346
0.48,0.653
0.34,0.418
0.25,0.646
0.2,0.61
0.25,0.327
0.48,0.667
0.37,0.457
0.25,0.629
0.22,0.617
0.27,0.354
0.47,0.672
0.37,0.435
0.26,0.651
0.23,0.604
0.24,0.349
0.5,0.67
0.37,0.453
0.25,0.667
0.19,0.607
0.26,0.357
0.47,0.671
0.36,0.439
0.24,0.671
0.2,0.621
0.26,0.341
0.5,0.656
0.36,0.438
0.24,0.649
0.19,0.611
0.24,0.332
0.49,0.669
0.38,0.444
0.22,0.641
0.21,0.606
0.25,0.333
0.48,0.65
0.34,0.416
0.23,0.651
0.19,0.601
0.26,0.342
0.5,0.667
0.33,0.41
0.24,0.66
0.18,0.626
0.25,0.342
0.47,0.637
0.36,0.434
0.25,0.667
0.21,0.634
0.26,0.344
0.5,0.675
0.35,0.43
0.25,0.673
0.2,0.608
0.25,0.339
0.5,0.655
0.35,0.431
0.25,0.634
0.22,0.613
0.25,0.333
0.52,0.681
0.34,0.41
0.24,0.645
0.19,0.62
0.24,0.322
0.48,0.666
0.32,0.408
0.24,0.663
0.19,0.604
0.24,0.327
0.51,0.666
0.36,0.431
0.25,0.604
0.19,0.578
0.28,0.363
0.46,0.642
0.35,0.433
0.25,0.679
0.19,0.628
0.25,0.322
0.49,0.66
0.35,0.414
0.26,0.672
0.2,0.605
0.26,0.341
0.48,0.656
0.36,0.439
0.24,0.636
0.2,0.606
0.27,0.355
0.53,0.693
0.37,0.437
0.26,0.681
0.19,0.62
0.25,0.346
0.48,0.665
0.33,0.394
0.24,0.662
0.21,0.628
0.27,0.357
0.47,0.671
0.37,0.443
0.25,0.66
0.22,0.624
0.3,0.381
0.49,0.68
0.37,0.429
0.25,0.683
0.21,0.622
0.25,0.332
0.48,0.659
0.36,0.447
0.27,0.634
0.2,0.569
